parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[100, 110]",71.01,134.56%,-66.48%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.02,1.3017237504789758,74.58970481782359
"[110, 170]",69.24,133.39%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,2.02,1.3147662883045779,74.58970481782359
"[20, 80]",73.35,136.09%,-67.53%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.02,1.362195870402468,74.58970481782359
"[110, 140]",65.11,130.53%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.01,1.3057230090818732,74.58970481782359
"[80, 100]",64.18,129.87%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.0,1.2951620898745464,74.58970481782359
"[50, 120]",73.44,136.15%,-68.06%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.0,1.3223679329725329,74.58970481782359
"[100, 170]",66.71,131.66%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.99,1.2776138581588024,74.58970481782359
"[120, 180]",66.9,131.79%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.99,1.3105358140026822,74.58970481782359
"[90, 110]",71.29,134.75%,-67.85%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.99,1.3078391415347772,74.58970481782359
"[20, 100]",70.49,134.22%,-67.89%,2017-12-16 00:00:00,2019-03-05 00:00:00,1.98,1.3397415714022902,74.58970481782359
"[30, 40]",51.22,119.73%,-60.38%,2017-12-16 00:00:00,2019-03-05 00:00:00,1.98,1.3378770683395742,74.58970481782359
"[60, 90]",62.01,128.29%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.98,1.2833264246473868,74.58970481782359
"[100, 160]",62.11,128.37%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.98,1.2611062708120244,74.58970481782359
"[10, 110]",74.48,136.81%,-69.28%,2017-12-16 00:00:00,2019-03-05 00:00:00,1.97,1.355671638907937,74.58970481782359
"[60, 80]",61.18,127.68%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.97,1.282291465988784,74.58970481782359
"[10, 130]",61.22,127.7%,-64.86%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.97,1.305348506628756,74.58970481782359
"[70, 80]",61.48,127.9%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.97,1.280604943223917,74.58970481782359
